id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
3520634472480689,z8ENpapl7, ,https://ww3.sinaimg.cn/large/aa0d02fatw1dzl8dwi0clg.gif,,,2012-12-07,360安全浏览器,0,1,1,,
3499272974814789,yFExHkcxT,怎么会这么好看啊[花心]@刘诗诗 ,https://ww3.sinaimg.cn/large/aa0d02fatw1dxp324hvluj.jpg,,,2012-10-09,微博 weibo.com,0,0,3,,刘诗诗
3486090231125825,yA7Bd4ISt,"我参与了@Sunglight小乔 发起的投票【刘诗诗佟丽娅刘亦菲董洁阿娇baby范冰冰杨幂谁最美】，我投给了""刘诗诗（1987）""这个选项。你也快来表态吧：刘诗诗佟丽娅刘亦菲董洁阿娇baby范冰冰杨幂谁最美  ",,,,2012-09-03,投票,0,0,0,,Sunglight小乔
3475062327552107,yvuIgvGEb,"我参与了@新东方烹饪之美味学院 发起的投票【2012暑期热播剧你最爱哪一部？用行动支持你的偶像】，我投给了""《轩辕剑》主演：胡歌 刘诗诗 林更新""这个选项。你也快来表态吧：2012暑期热播剧你最爱哪一部？用行动支持你的偶像  ",,,,2012-08-03,投票,0,0,0,,新东方烹饪之美味学院
3473876975507804,yuZSpn6Py,发现棒子真的很恶心，吃泡菜吃多了吗？ ,,,,2012-07-31,微博 weibo.com,0,0,0,,
3473471981792677,yuPlc7wm9,"我参与了【你心中的“金鹰女神”】，投给了 ""刘诗诗"" 这个选项。 你心中的“金鹰女神” ",,,,2012-07-30,新浪微群,0,0,0,,
3473471365146434,yuPkclAP0,"我参与了【《轩辕剑》热播刘诗诗唐嫣戏里戏外大PK，你最喜欢谁】，投给了 ""刘诗诗"" 这个选项。 《轩辕剑》热播刘诗诗唐嫣戏里戏外大PK，你最喜欢谁 ",,,,2012-07-30,新浪微群,0,0,0,,
3473471289690525,yuPk4EEWN,"我参与了【情节相似的穿越剧。宫斗戏。你更喜欢哪部呢】，投给了 ""步步惊心"" 这个选项。 情节相似的穿越剧。宫斗戏。你更喜欢哪部呢 ",,,,2012-07-30,新浪微群,0,0,0,,
3473471155726511,yuPjRo1J5,"我参与了【令你向往的女星】，投给了 ""刘诗诗  小狮子们发威吧！"" 这个选项。 令你向往的女星 ",,,,2012-07-30,新浪微群,0,0,0,,
3473471113780880,yuPjNfRzW,"我参与了【如果你有一次与美女明星零距离接触的机会你会选择谁？】，投给了 ""刘诗诗"" 这个选项。 如果你有一次与美女明星零距离接触的机会你会选择谁？ ",,,,2012-07-30,新浪微群,0,0,0,,
3473471058943007,yuPjHBwu3,//@王培裴: 分享图片 - 原文地址：网页链接 ,https://ww4.sinaimg.cn/large/a70e7447tw1dver61axolj.jpg,,,2012-07-30,新浪微群,0,0,0,,王培裴
3473470719491046,yuPj9DP3o,"我参与了【内地五大美女，那一位最有气质，最能迷倒你？】，投给了 ""刘诗诗"" 这个选项。 内地五大美女，那一位最有气质，最能迷倒你？ ",,,,2012-07-30,新浪微群,0,0,0,,
3473470430065202,yuPiH0gXE,"我参与了【哪个女明星最美?】，投给了 ""刘诗诗"" 这个选项。 哪个女明星最美? ",,,,2012-07-30,新浪微群,0,0,0,,
3473470022884306,yuPi2c6l4,//@天空之怜: 话说第二张应该为飘渺胡 - 原文地址：网页链接 ,https://ww2.sinaimg.cn/large/6283a557gw1dvdpekev4aj.jpg,,,2012-07-30,新浪微群,0,0,0,,天空之怜
3473469980938597,yuPhY3WaF,//@Recall13: 转发微博：//@九珺:[亲一口]这货二的可爱!#胡歌# - //@诗歌天下:#胡歌轩辕剑之天之痕# 痴痴坐在车顶吃神马东西啊[挖鼻屎] - 原文地址：微博正文 - 原文地址：网页链接 ,https://ww3.sinaimg.cn/large/65cfa928gw1dvdm0m1h70g.gif,,,2012-07-30,新浪微群,0,1,0,"胡歌,胡歌轩辕剑之天之痕","Recall13,九珺,诗歌天下"
3473469884770848,yuPhOk17a,//@诗歌雅阁: 分享图片 - 原文地址：网页链接 ,https://ww2.sinaimg.cn/large/ab426272jw1dvdx2ht6sxj.jpg,,,2012-07-30,新浪微群,0,0,0,,诗歌雅阁
