id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4429963329230796,IcztWCJlO,对封面记者村杜恩湖能仗义执言，表示赞赏，我通过他的电话采访，把对关于与人合影收费一事的谣言，做了澄清声明，发在封面上。 ,,,,2019-10-21,HUAWEI Mate 20,17743,191,150,,
4422542469014826,I9sqOBPaq,热烈庆祝伟大的中华人民共和国成立七十周年。各位网友，节日快乐！ ,"https://wx2.sinaimg.cn/large/4f93426fly1g7iiyy4jqjj21400u0whk.jpg,https://wx1.sinaimg.cn/large/4f93426fly1g7iiyyej7xj20hn0fxaa4.jpg,https://wx4.sinaimg.cn/large/4f93426fly1g7iizrhvgnj23282aob2a.jpg",,,2019-10-01,HUAWEI Mate 20,3908,24,26,,
4421177609244484,I8SVqCMUA,新中国七十华诞普天同庆。一位朋友告诉我，他孩子今年大一，早就参加了当天广场大合唱的集训了。当排练时，在宏大乐队伴奏下，孩子们放声歌唱，很多歌过去唱过，可这次不一样啊，过去不过唱歌而已，这次不同的是，每个孩子都哭了，放声高歌热泪盈眶。他们心中湧起无限的爱，仿佛长大了，也感受到肩上的重任。国庆盛典一定会激发深广的爱国之情。我曾有幸多次参与国庆转播光荣使命，一次震撼影响一生。,https://wx2.sinaimg.cn/large/4f93426fly1g7e5vps98tj20hn0fxaa4.jpg,,,2019-09-27,HUAWEI Mate 20,1114,8,13,,
4416057269777404,I6JIOF1y4,花好月圆，中秋快乐！ ,"https://wx3.sinaimg.cn/large/4f93426fly1g6xu814oh2j20lc0sggob.jpg,https://wx2.sinaimg.cn/large/4f93426fly1g6xu8tn50cj20u0140wm4.jpg",,,2019-09-13,HUAWEI Mate 20,812,15,8,,
4414913353498376,I6fXNeG5q,今天是教师节，我怀着感恩之情向教过我的各位师长，也向全体老师致以崇高的敬意！ ,https://wx3.sinaimg.cn/large/4f93426fly1g6u6rkaupej20go0by759.jpg,,,2019-09-10,HUAWEI Mate 20,1316,17,16,,
4402962866354586,I1f4OqF7k,#全职高手解说挑战赛##电视剧全职高手# 做为一名主持人，需要迎来不同的挑战！听，这是热血的赛场，也是荣耀的声音。让我们一起用声音开启不一样的《全职高手》，高手过招，期待你来！ ,https://wx1.sinaimg.cn/large/4f93426fly1g5s2e3qe8tj20u01vl4qp.jpg,,,2019-08-08,HUAWEI Mate 20,1882,7,914,"全职高手解说挑战赛,电视剧全职高手",
4402952946900491,I1eOOsX8f,今日立秋。说是3点13分立的，俗话半夜立的秋。早立秋凉嗖嗖，今年高温可休矣？几位友人发来这红烧肉图片，与好这口的网友分享。 ,https://wx3.sinaimg.cn/large/4f93426fly1g5s10q5c1wj20b20a00t5.jpg,,,2019-08-08,HUAWEI Mate 20,452,7,5,,
4400400058306345,I0apfyQRj,今天是建军节，发出我由衷的敬意！ ,"https://wx2.sinaimg.cn/large/4f93426fly1g5jw1bzfh1j20i20i2jsi.jpg,https://wx2.sinaimg.cn/large/4f93426fly1g5jw1msgiij20he0c975w.jpg",,,2019-08-01,HUAWEI Mate 20,495,5,6,,
4396954295072723,HEGdTlhE7,今日二伏。头伏饺子二伏面。暑气闷热，各位夏安 ,"https://wx4.sinaimg.cn/large/4f93426fly1g58w875fdcj22ao328npf.jpg,https://wx3.sinaimg.cn/large/4f93426fly1g58w8v5offj20u014078l.jpg,https://wx3.sinaimg.cn/large/4f93426fly1g58w9jcvwhj22io19c7wi.jpg,https://wx2.sinaimg.cn/large/4f93426fly1g58wa83t29j22ao328npe.jpg,https://wx1.sinaimg.cn/large/4f93426fly1g58wb40l4sj20850640sr.jpg,https://wx3.sinaimg.cn/large/4f93426fly1g58wblyw10j22ao328qv7.jpg",,,2019-07-22,HUAWEI Mate 20,1075,27,10,,
4388837603758145,HBh4sfLFf,今天是个很特别的日子，过完今天，这周就结束了；过完今天，这个月就结束了；过完今天，上半年就结束了。祝周未快乐/月底开心/年中如意![愉快][愉快][愉快] ,"https://wx2.sinaimg.cn/large/4f93426fly1g4j03hsqqnj20u014076u.jpg,https://wx4.sinaimg.cn/large/4f93426fly1g4j04mjn5zj20u0140gny.jpg,https://wx1.sinaimg.cn/large/4f93426fly1g4j04qhzjjj20u0140djq.jpg",,,2019-06-30,HUAWEI Mate 20,795,21,33,,
4383755835723763,Hz8S3o10L,父亲节，收到不少祝福，我祝天下父亲都快乐。有句老話，有子（女）万事足。老少爷们多有担当。一 ,,,,2019-06-16,HUAWEI Mate 20,387,14,3,,
