id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4389638833371737,HBBULe98R,感谢您半个赛季来的付出，感谢您给球队带来的成长，用所有球员的名字，向您致敬！祝一切都好！大连一方超话#崔康熙# ,https://wx1.sinaimg.cn/large/006ZoQMWly1g4lk43aukej31ph2z44qt.jpg,,,2019-07-02,iPhone客户端,75,10,10,崔康熙,
4373418386058837,HuNWKpqbb,RISE UP！ ,https://wx4.sinaimg.cn/large/006ZoQMWly1g35t9nhdexj36wi3h64qs.jpg,,,2019-05-18,iPhone客户端,9,11,2,,
4365983810218396,HrGxv0UOw,#大连一方赛前海报# “北境之战”今晚打响，蓝军出征，“震京”四座！加油@大连一方足球俱乐部 [加油]大连一方超话 ,"https://wx1.sinaimg.cn/large/006ZoQMWly1g2i3c26dbzj31gi0u07wh.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g2i3d91hq5j31gi0u0hdt.jpg",,,2019-04-28,360安全浏览器,13,0,1,大连一方赛前海报,大连一方足球俱乐部
4362039847331086,Hq1WguL9k,终于等到你！《12人》@纪录片_12人 本周日4月21日12点半，在大连广播电视台【文体频道 】播出！！！大家准时收看呀～ 足球天地视频组的秒拍视频 ,,"http://f.us.sinaimg.cn/003Uit4Alx07t9g8vNwA010412005QnM0E010.mp4?label=mp4_hd&template=640x272.28.0&Expires=1578777884&ssig=PdpLkOSf9T&KID=unistore,video",,2019-04-17,iPhone客户端,22,6,5,,纪录片_12人
4355139651348864,Hn8qV5ETS,大连一方超话 中超第3轮，大连一方主场迎战广州恒大，这也是新赛季开赛以来大连第一个主场，摩拳擦掌已久，只待赛场一搏！战斗‘斯’杀，同袍一心，力争首胜[加油]#大连一方赛前海报# ,"https://wx3.sinaimg.cn/large/006ZoQMWly1g1jhzm2ap6j31mc0xchdv.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g1jhzpecczj31mc0xcqv6.jpg",,,2019-03-29,iPhone客户端,13,1,1,大连一方赛前海报,
4354505275946873,HmRVJoX3j,大连一方超话 0326开放日~已经周三了， 周六还会远吗 ,"https://wx4.sinaimg.cn/large/006ZoQMWly1g1hh36f1tzj31900u0k94.jpg,https://wx4.sinaimg.cn/large/006ZoQMWly1g1hh3ajf2mj31900u07u4.jpg,https://wx3.sinaimg.cn/large/006ZoQMWly1g1hh3d2acyj31900u0ax7.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g1hh3dumonj31900u07wh.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g1hh3dhwraj31900u04qp.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g1hh37t0kgj31900u0e0f.jpg,https://wx3.sinaimg.cn/large/006ZoQMWly1g1hh3cn1d1j31900u0kcu.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g1hh38c0xaj31900u0dy4.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g1hh378dxuj31900u0arj.jpg",,,2019-03-27,360安全浏览器,19,5,1,,
4348066859380696,HkarbDmly,【战报】2019中超第二轮：广州富力3:3大连一方。卡拉斯科梅开二度，彰显超强个人能力。郑龙替补登场，攻入首秀处子进球。大连一方在两次落后的情况下两度完成反超，但伤停补时最后时刻被富力头球扳平比分，在广州带走1个积分。接下来将是新赛季第一个间歇期，大连一方下一场比赛将是3月30日15:30，在主场迎战广州恒大淘宝队 ！大连加油！💪🏻,"https://wx1.sinaimg.cn/large/006ZoQMWly1g0wxgayyh5j33j52crh2g.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0wxgdbwznj32ki1pmnld.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0wxg9ru0sj31py15b0x5.jpg",,,2019-03-09,iPhone客户端,9,2,0,,
4347533482299929,HjWyU9EjD,大连一方 小编祝所有人美心善可爱大方英气率性的大连女球迷节日快乐呀为感谢大家一直以来对大连一方俱乐部和足球天地视频组的支持， 搞一个小小的活动吧转发并评论本条，给@大连一方足球俱乐部 加油打气，第3位、第8位、第38位评论的女球迷朋友分别送大连一方球星卡一张（第3位）、加油毛巾一条（第8位）、助威服一件（第38位）！中奖条件是关注@大连一方足球俱乐部 和@足球天地视频组微博，并且有发过关于大连一方内容的微博。注意必须是女球迷呀，小编会进去主页看的哦 若不符合条件，中奖名次顺延， 中奖以小编评论区回复为准~,https://wx3.sinaimg.cn/large/006ZoQMWly1g0v8cnwcntg30u00u04qu.gif,,,2019-03-08,iPhone客户端,27,74,16,,"大连一方足球俱乐部,大连一方足球俱乐部,足球天地视频组微博"
4347520052249183,HjWdf9r79,大连一方超话  对将，角力[加油] 2019 ROUND 2，大连一方@大连一方足球俱乐部 加油！ ,https://wx4.sinaimg.cn/large/006ZoQMWly1g0v6uuv2t6j31gi0u0hdu.jpg,,,2019-03-08,360安全浏览器,15,2,3,,大连一方足球俱乐部
4345848840387465,HjeJK1CNr,【战报】2019中超第一轮：河南建业1:1大连一方。比赛第91分钟，卡拉斯科一计禁区外的低平远射，扳平比分帮助球队从河南带走一分。卡拉非常OK！ ,"https://wx4.sinaimg.cn/large/006ZoQMWly1g0puv5qcqkj338g2as4kr.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0puv68k9rj3334222alb.jpg,https://wx3.sinaimg.cn/large/006ZoQMWly1g0puv6j91ij333z252gzs.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g0puv6vi8aj32zd21j7fs.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g0puv76e9zj33051zzh6t.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g0puvcv11uj34002o0000.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0puveyl9aj330b204dwy.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g0puvfznj7j32k81q547v.jpg,https://wx4.sinaimg.cn/large/006ZoQMWly1g0puvh6zpuj34002o07wh.jpg",,,2019-03-03,iPhone客户端,16,5,0,,
4345759225266114,Hjcpcm5Xk,倒计时1.5小时大连一方超话  足球天地视频组的秒拍视频 ,,"http://f.us.sinaimg.cn/001NcwPhlx07rZBo1f7q010412005ZTA0E010.mp4?label=mp4_hd&template=832x480.28.0&Expires=1578777886&ssig=9QKGC45j1P&KID=unistore,video",,2019-03-03,iPhone客户端,33,18,2,,
4345497076169998,Hj5AnpT66,一个热爱足球的城市 一群热爱足球的人大连一方超话 远征军斗志昂扬💪🏻明天加油呀@大连一方足球俱乐部 足球天地视频组的微博视频 ,,"http://f.us.sinaimg.cn/002MHoktlx07rYrROuvu01041200hJuZ0E010.mp4?label=mp4_hd&template=844x480.28.0&Expires=1578777886&ssig=rcVrHekw3Q&KID=unistore,video",,2019-03-02,iPhone客户端,32,2,1,,大连一方足球俱乐部
4345345238504978,Hj1DtzGx4,大连一方超话 2019新征程，即将启航大连一方加油加油，旗开得胜！#大连一方赛前海报# ,https://wx4.sinaimg.cn/large/006ZoQMWly1g0o92k7u8kj30tn1gpqv5.jpg,,,2019-03-02,iPhone客户端,16,1,0,大连一方赛前海报,
4344691279450509,HiKCHDEvz,大连一方  大西洋的神秘多姿和南美洲的热情淳朴，阿根廷圣马丁孕育出了生来为足球的你。从热血洋溢的红色战袍， 到坚韧拼搏的蓝色盔甲，你跨越万里山水来到大连。时间好短也好快啊，感觉才刚刚认识你，被你在场上的的精湛技艺不知疲倦兢业奉献折服，才刚刚爱上这样腼腆可爱又霸气的你，转眼就要说再见了。难说再见， Thank you and Wish you all he best  - Nicolás Gaitán 盖坦 足球天地视频组的微博视频,,"https://f.us.sinaimg.cn/0042Y1sKlx07rUTZrZjq0104120168j30E010.mp4?label=mp4_hd&template=852x480.20.0&Expires=1578777888&ssig=%2B9C1JA2GD7&KID=unistore,video",,2019-02-28,360安全浏览器,40,26,12,,
4343998468219400,HisBgyueY,登高望远 上海·上海中心 ,"https://wx1.sinaimg.cn/large/006ZoQMWly1g0jyf5q3ioj30u0140wkp.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0jyfcari7j32c0340e85.jpg,https://wx4.sinaimg.cn/large/006ZoQMWly1g0jyf8yplyj32c0340hdw.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0jyf58onqj32c0340e84.jpg",,上海·上海中心,2019-02-26,iPhone客户端,20,18,2,,
4343196911875709,Hi7Kr7RXn,恭喜@纪录片_12人 首映成功！影片精彩程度超乎预期，现场纸巾消耗量很大 ,"https://wx2.sinaimg.cn/large/006ZoQMWly1g0hec7zkhej31400u043m.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g0heca07qfj31400u00zr.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g0hece4n2ij32gs0u0kdj.jpg,https://wx3.sinaimg.cn/large/006ZoQMWly1g0hecfdvaoj31400u0790.jpg",,,2019-02-24,iPhone客户端,11,7,1,,纪录片_12人
4341346309273919,HhlBACUzl,大连一方超话 意甲劲旅那不勒斯旗帜人物 Marek Hamsik哈姆西克 重磅加盟@大连一方足球俱乐部 期待世界顶级中场能够在中超的赛场上为大连一方攻城拔寨， 助力球队取得更好成绩！ 小编奉上视频，热烈欢迎哈姆西克的到来 足球天地视频组的秒拍视频 ,,"http://f.us.sinaimg.cn/004uJbLulx07rGbbBmqQ01041200L5S40E010.mp4?label=mp4_720p&template=960x720.20.0&Expires=1578777888&ssig=%2F55BmO4enO&KID=unistore,video",,2019-02-19,360安全浏览器,18,1,0,,大连一方足球俱乐部
4339345424865053,HgvymkpCB,【官宣】@大连一方足球俱乐部 今日官宣5名强力内援加盟俱乐部欢迎大将军@秦升 ，大杨@杨善平05 ，剑哥@尼古拉斯赵四13 ，旭日哥@赵旭日 回家～欢迎建滨@李建滨 来到大连期待2019赛季，大连一方加油呀！ ,"https://wx4.sinaimg.cn/large/006ZoQMWly1g053u279c4j312w0m8785.jpg,https://wx3.sinaimg.cn/large/006ZoQMWly1g053u2fqvbj312w0m80wm.jpg,https://wx2.sinaimg.cn/large/006ZoQMWly1g053u2o1m2j312w0m8djt.jpg,https://wx4.sinaimg.cn/large/006ZoQMWly1g053u2uitcj312w0m8ae0.jpg,https://wx1.sinaimg.cn/large/006ZoQMWly1g053u32249j312w0m8adz.jpg",,,2019-02-13,iPhone客户端,33,8,0,,"大连一方足球俱乐部,秦升,杨善平05,尼古拉斯赵四13,赵旭日,李建滨"
4334087831424991,HeiMn5YHJ,大连一方超话 【大连一方冬训记-马贝拉3】最后有花絮！记得看完！记住啦~ 足球天地视频组的微博视频 ,,"http://f.us.sinaimg.cn/0025Qz8Jlx07raeviAUM01041201RCuW0E010.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1578777888&ssig=6NkIvdyggl&KID=unistore,video",,2019-01-30,360安全浏览器,16,10,0,,
4333477745099460,He2UmloBm,大连一方超话 小年快乐哦小编双手奉上大家心心念念的【大连一方冬训记-马贝拉2】  划重点，34秒有亮点，建议看准进度条，提前做好暂停准备~  另外，大声告诉我，你们还想看到谁 足球天地视频组的微博视频 ,,"http://f.us.sinaimg.cn/004cdUlelx07r7y7Vb7W01041201zGwp0E010.mp4?label=mp4_720p&template=1280x720.20.0&Expires=1578777888&ssig=17NVUzYZkD&KID=unistore,video",,2019-01-28,360安全浏览器,20,22,0,,
