id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4467582709186090,Ism8mCxIK,跟大家分享一下今天下午买口罩的事情，今天刚回广州，没有带备用的口罩，本想着随便找个药店买就有，结果走了一百个还没买到，从三点多跑到刚刚，跑了快一下午，不知道跑了多少药店，最后还是自己小区下面看店的小妹看我可怜二十五一个给了我几个防pm2.5的。。。。我想问一下，这个有用吗？ ,,,,2020-02-02,iPhone客户端,47,30,0,,
4462205234183463,Iq6f1hyjd,可惜了，rng输了，blg都没打过，这是我赛前没想到的。看饮水机的枣子哥请求出战！ ,,,,2020-01-18,iPhone客户端,114,50,2,,
4462174338507040,Iq5rbzH4k,史森明这把洛也太猛了吧，对队友来说是哪里需要我我就会出现在哪里，对对手来说就是这个人怎么跟鬼一样哪里都在。看完这把比赛我不禁感叹，当然那个傻小子不知不觉间已经成为一个可以依靠的对象了呢。时间过得真快，想起小明加入rng好像在昨天一样，谁知道已经这么久了，突然间就觉得自己真的老了啊。比赛看的开心，但面对现实有点难受。,,,,2020-01-18,iPhone客户端,56,5,2,,
4456739761631400,InO3K6QoU,刚刚看到春季赛rng的赛程，果然是像之前了解到的一样，已经放弃北京主场了嘛。。话说放弃了也好，那主场每打一次比赛都要亏损好多钱，门票收入连安保费都不够。不过我个人觉得主场还是要的。。。建大一点就好了，哈哈哈 ,,,,2020-01-03,iPhone客户端,93,19,0,,
4456458005499416,InGJin4Eg,我在2019#微博之夜#活动中，为#uzi#的简自豪投出了重要50票！2019热门人物你最想pick谁？猛戳#微博之夜#年度人物投票，最受欢迎人物由你成就！集纯甄时光碎片，还能赢取盛典门票、现金红包及实物大奖哦！ ,,,,2020-01-03,微博品牌活动,22,3,0,"微博之夜,uzi",
4455112053062487,In7IpcQGX,我在2019#微博之夜#活动中，为#uzi#的简自豪投出了重要10票！2019热门人物你最想pick谁？猛戳#微博之夜#年度人物投票，最受欢迎人物由你成就！还能赢取盛典门票、现金红包及实物大奖哦！ ,,,,2019-12-30,微博品牌活动,21,12,5,"微博之夜,uzi",
4454899229702999,In2b8EIbZ,德杯RNG夺冠了，经过一年多颗粒无收的艰难日子后，rng终于再次捧杯，在德杯开赛的第一天，谁能想到他们能夺冠？所以这才是电子竞技的魅吧。说一下，小虎最后一波秒卡莎也太帅了吧，要是在以后更重要的比赛上也能像今天这样敢打敢拼就好了。如果他们每场都是这样敢打敢拼的，就算是输掉比赛，对我而言也是好的，因为我想看到的是那个在战场上怒吼狂战的英雄，而不是唯唯诺诺的弱者。这个冠军是个好的开始，2020年，我希望每一场金色的雨都是为rng而下，最最重要的是，在家门口拿下s赛吧，求求了。,,,,2019-12-29,iPhone客户端,213,19,1,,
4454604294813832,ImUvrkcis,白天有事没有看直播，刚刚复盘完今天rng打jdg的比赛，虽然德杯大家都不重视，每个队伍都是练兵为主，但看着rng从小队赛一开始的0比2开始到现在的两个3比0，真的很开心，有种久违了的热血沸腾感觉，不知道兄弟姐妹们都是怎么想的？ ,,,,2019-12-28,iPhone客户端,182,43,1,,
4452028899731419,IlPvzEPAn,我们rng能不能出线阿？课代表呢？ ,,,,2019-12-21,iPhone客户端,77,31,0,,
4450227094316267,Il4Dri6Rd,RNG今天一口气发了这么多条微博。。。这些到来的人里大家应该比较关注MATA和Tabe，但是我更加关注的是从二队调上来的二个，特别是中单，听说在LDL掌控雷电，2020赛季能不能有所作为，我个人认为跟新加入的几名队员有很大的关系，总得来说，我保持乐观心态，明天S赛在中国举办，我个人觉得这可能是Uzi最 ...全文,,,,2019-12-16,微博 weibo.com,222,50,1,,
4449563232131937,IkNmH8WC5,哎呀，边吃宵夜边看史森明直播，然后我把粥都喷出来了。。。。。。 ,,,,2019-12-15,iPhone客户端,52,8,0,,
4449298785508535,IkGuan71l,我在2019#微博之夜#活动中，为#uzi#的UziQAQ投出了重要10票！2019热门人物你最想pick谁？猛戳#微博之夜#年度人物投票，最受欢迎人物由你成就！还能赢取盛典门票、现金红包及实物大奖哦！ ,,,,2019-12-14,微博品牌活动,24,8,0,"微博之夜,uzi",
4448849370708858,IkuNj2Ypc,我在2019#微博之夜#活动中，为#uzi#的UziQAQ投出了重要10票！2019热门人物你最想pick谁？猛戳#微博之夜#年度人物投票，最受欢迎人物由你成就！还能赢取盛典门票、现金红包及实物大奖哦！ ,,,,2019-12-13,微博品牌活动,41,7,1,"微博之夜,uzi",
4444474111375481,IiEYr5LPb,我觉得如果你是真的喜爱uzi的，那么就不会太过在乎他是否换队，是否退役这些问题，因为不管他在哪里，你都会追随，像今天这样拿个奖采个访就被各种节奏也是没谁了。在这里我希望大家安静观望就好了，如果实在闲的没事干，可以玩玩游戏看看书，实在不行逗一下异性朋友也是极好的，不要为这些没完没了的节奏消耗时间，真的不值得。,,,,2019-11-30,iPhone客户端,220,53,4,,
4443688723622257,IikxGfcjv,我刚刚听说SSM人没了？ ,,,,2019-11-28,微博 weibo.com,61,26,0,,
4442611622809800,IhSwqbMXm,什么都不用说了，9.23版本的法海天下无敌，这把我安妮和掘墓都三星了，火男在6-6的时候我忘了是打野卖了一个买三星安妮不然也三星了，哈哈，这把真的太爽了。 ,https://wx3.sinaimg.cn/large/0069XXTYgy1g9ajz8heyjj30zk0k0k8m.jpg,,,2019-11-25,微博 weibo.com,20,5,0,,
4441902474319468,IhA4Di7GQ,Uzi直播玩个游戏弹幕阴阳怪气也就算了，反正他不看，现在竟然连游戏里都有人打字骂，你说这些人图个啥？真的骂退役了不要像以前骂韦神那样，等退役了哭着喊着回来救救LGD就好了。话说这些游戏里骂人的官方不处理一下吗？ ,,,,2019-11-23,微博 weibo.com,262,86,3,,
4438095191603329,IfZ1R6J69,又是一年的全明星投票开始啦，投票时间只有7天，13号到20号！请大家投Uzi和Ming，拜托了！网页链接 ,,,,2019-11-13,微博 weibo.com,121,40,6,,
4437220666292074,IfChkqoR4,恭喜FPX拿下S赛冠军，洗洗脸准备抢11了。。。 ,,,,2019-11-10,iPhone客户端,102,9,0,,
4436424633774944,IfhzpfQ2c,云顶之弈也更新好几天了，这是刚刚玩的这套双天使帽子大嘴，可以无限喷，是不是有点猛？  阿杰解说的微博视频 ,,"http://f.video.weibocdn.com/001EI5pplx07yqEKhlYY01041208T9d60E040.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1581396265&ssig=3%2Bb0HhcbtB&KID=unistore,video",,2019-11-08,微博视频,19,7,1,,
4435942737523181,If529vz7D,"云顶之弈新赛季新版本今天更新啦，这边做个小小的云顶之弈新赛季攻略给大家，攻略主要是给大家几套可以吃鸡的阵容以及运营方法。在没有给阵容之前，首先大家得先了解一下新版本的各种羁绊、职业以及新的装备合成，这些各大媒体都有，大家可以去找来看，我就不过多的讲方面的东西了，这边只要给阵容和运营方法，然后大家对着玩就能吃鸡啦。第一套：8人口成型形态：3掠食者（大嘴、挖掘机、狼人或蝎子）、3狂战士（奥拉夫、狗熊、蒙多）、3剧毒（大嘴、蒙多、炼金或老鼠）、2极地（奥拉夫、狗熊、狼人）、2钢铁（挖掘机、梦魇） 这套是我玩的最多，感觉最稳定的一套。所以这套的组成棋子是：大嘴、挖掘机、蝎子（或狼人）、奥拉夫、狗熊、蒙多、梦魇、炼金（或老鼠）。最完美的装备情况是大嘴带羊刀、分劽弓、红BUFF,奥夫拉带羊刀、缴械、龙牙或绿X。炼金带鬼书。运营情况很简单，前期不要升人口！千万不要升人口！第一波选秀尽量拿反曲弓，没有的话拿大棒、魔抗之类的也可以的。在打石头人前拿德鲁依和森林过渡，没有的话拿其它二星的过渡就好。最重要的运营来了，记住一点，前期千万不要升人口，一下都不要升！在钱累积到50块之后，利用多余的钱D，拿阵容需要的棋子，前期可以拿鳄鱼代替奥拉夫过渡的，在3-3选完秀之后其它棋子有二星而大嘴没有5-6个就不要D了，因为这个时候你基本是无敌的，可以升人口找奥拉夫。在七人口的时候看情况要不要花钱找奥拉夫，如果血多就直接上8找炼金，少的话就要花钱找奥拉夫保血了。在你的阵容成型之后，除了无敌天胡的四沙漠四剑能和你打打之外，其它的根本不是对手，吃鸡是必然的。第二套，就是上面说的那套8人口成型：4沙漠（鳄鱼、沙皇、轮子妈、螳螂），4剑（亚索、轮子妈、剑魔、剑圣）、2云（亚索、风女）、2秘术（剑圣、风女）这套需要的棋子是：鳄鱼、沙皇、轮子妈、螳螂、亚索、剑魔、剑圣、风女这套还有一个变种：7人口成型的方法，就是做一个转剑士的装备，把沙皇变成剑士，这样就不需要剑圣了，因为剑圣是5金棋子，不好刷，建议大家拿装备的时候先拿变剑士的。这样容易成型很多。装备给轮子妈羊刀、缴械、无尽、沉默刀或者防装都可以，沙皇带羊刀、剑士。二星剑圣可以带装备的。亚索可以带冰拳的。其它多的装备做防装就好。运营方面前期德鲁依三森林过渡，没有的话拿其它二星的过渡就好。这个建议大家早升到6人口，这样可以更容易的拿到高费棋子，因为这套费用都挺高的。成型之后你会发现，几秒种就清场了，特别暴力，吃鸡也比较稳定。第三套：8人口成型阵容：6光（狗头人、VN、武器、剑魔、星妈、掘墓者再加一个变成光的艾希或者老鼠，艾希或老鼠是谁先二用谁，替补掉一个除掘墓者VN之外的一个光），二游侠（VN+艾希或老鼠），三招唤使（掘墓者、安妮、劫）这套不一定要安妮和劫的，也可以做四游侠，或者7人口不转换光的双游侠阵容，很灵活的。这套运营很简单，前期最少有2星VN才可以玩，和以前一样，留钱到7人口一波消费，这套掘墓者很关键的，因为他生的儿子也有光的效果，特别给力。装备方面主养VN，羊刀分劽弓是必须要有的。后面的可以有什么合什么。8人口成型之后有二星劫也是可以随便吃鸡的。第四套，六地狱火（婕拉、皎月、维鲁斯、千珏、安妮、火男） ，3召唤使（婕拉、安妮、劫（或其它的召唤使），三法师（火男、球女或吸血鬼、转换成法师的安妮）这套前期要赌的，所以打完石头人后婕拉+皎月没有89个就别玩了。运营方法前期用婕拉+皎月+德鲁依森林过渡，和第一套一样，等50块用多余的钱赌，到婕拉或皎月有3了停手升人口。装备除了转换法师给安妮之外没什么特别需求，前期可以的话可以做救赎春哥给大树，后期来劫了可以给劫带。这套成型之后有2星劫吃鸡也是稳的。第五套：六法（吸血鬼、岩雀或妖姬、球女、小法师、火男、转换成法师的安妮）、4海洋（吸血鬼、球女、锤石、娜美），也可以把锤石和娜美换成石头人和宝石的，或者七人头上一个地狱火组3地狱火7人口成型。这套怕召唤使、光还有很多三星的第一套，其它的都能打，成型之后没有前面三套也是随便吃鸡的。这套安妮的二个熊很强，大家可以试试，我玩不好这套，不过我看别人玩挺猛的。第六套，六游侠，3毒，前面几个版本无敌的，被削弱之后没那么强力，但是如果天胡的话也是能吃鸡的。我美测服玩了这么久发现只有上面这几套有吃鸡能力的，可能还有更多更强力的阵容没有被开发出来，大家发现了一定要留言告诉我哦，因为我也想把把吃鸡的。天啊，这条博花了我40分钟。。。还好今天没什么事，不然感觉写不完，就写这么多了吧，我也不检查错别字了，有的话请大家稍微忍耐一下，我这边出去转转等开饭了，兄弟姐妹们回见。",,,,2019-11-07,微博 weibo.com,201,29,38,,
4429284799717807,IchPxEM2P,又是一年的10.20，RNG回家了，Uzi职业生涯的一年又结束了，欧成第一次战胜了Uzi。这个结果符合我赛前的预期，正常情况下八强，打的好四强，打不好小组就出不了线。虽然很难接受这个结果，但是兄弟姐妹们别放弃，RNG会回来的，我们来年再战，明年我希望看到的是一支站着的RNG，真的不想看到没有主动权的RNG了,,,,2019-10-20,iPhone客户端,333,251,5,,
4429255884495111,Ich4UiRnN,这个比赛看得心脏病都出来了，家里没有速效救心丸，RNG的生死战要不要看真的很矛盾。兄弟姐妹们你们敢不敢看阿？ ,,,,2019-10-19,iPhone客户端,91,61,0,,
4429212477424523,IcfWTv9sn,对了，微博新开的一个粉丝群功能，上限是5000人，喜欢Uzi、喜欢RNG的兄弟姐妹们可以加一下一起聊天吹牛看比赛happy，至于不喜欢的人请出门左转，谢谢。 阿杰解说总群 ,,,,2019-10-19,iPhone客户端,38,18,0,,
4429211340649512,IcfV42IY0,RNG输了，很可惜，感觉到队员们都很想赢，但看起来有种有力使不出的感觉，SKT还是猛的。随着这场比赛的输，那我们也就失去了争小组头名的机会，反而最后一场打FNC成了生死战了。加油吧软泥怪们，今年的任务是出线就好。 ,,,,2019-10-19,iPhone客户端,67,49,1,,
4429030071228765,IcbcH59EN,我的天啊，军运会开幕式的文艺演出不管是从画面看还是从剧情看，都是我看过最惊艳、最震撼的文艺演出，没有之一，太不可思议了。昨晚没看又有时间的兄弟姐妹千万不要错过了，一个小时看完感觉整个人都融入进入了，真的不知道怎么形容这是一种什么样的体验。 ,,,,2019-10-19,iPhone客户端,71,17,0,,
4428583042613817,IbZzGaXYl,FPX还是稳住了阿，小组第一名出线，接下来就看我们RNG的了。实话说，今年欧美的实力不容小觑，谁能捧杯真的不好说，说不定g2就拿了呢。 ,,,,2019-10-18,iPhone客户端,65,37,0,,
4427778516105120,IbEE3pCdG,RNG赢了，打FNC心理优势还是有的，毕竟世界赛上从来没有输过给他们。这把对面的阵容选的有点艺术，RNG把下路组合调去打峡谷先锋那个决策非常漂亮，狼行的一个闪如来神掌把过来应战的FNG打懵了。之后很长一段时间双方都在玩兵线，小虎拿到可以单带的英雄还是很给力的，我一直觉得小虎的单带非常强，以后可以多拿这样的东西。最后那波Uzi闪过去贴脸输出，这个操作很有当年狂小狗的感觉，真好。这局赢下来之后，rng的出线形势也一片大好，后面的三场比赛同样是不容有失，想要出线还是要继续赢下去才行。ming的采访。。。。。。这个主持人好正式阿，感觉还是阿姨的采访看点多，可能是阿姨和rng的队员彼此之间更熟悉吧。接下来有三天的空窗期，又没比赛看了。。。这条微博我自己都不知道自己在写什么，哈哈哈，不过我还是要发的，哈哈哈😄,,,,2019-10-15,iPhone客户端,214,57,1,,
4427037747797880,IblngwIAg,RNG输了，SKT笑到了最后，但是通过这场输掉的比赛可以看到RNG还是很有竞争力的，起码比很多人认为的有竞争力，所以输比赛我并没有很难受，反而有点欣慰，不知道为什么会有这样的感觉，你们呢？ ,,,,2019-10-13,iPhone客户端,330,107,3,,
4426693064097441,IbcpkhbVL,RNG首战获胜！感觉CG这支队伍真的好啊，像RNG这样慢热的队友第一个对手是CG对我们队伍的状态提升来说是非常好的，在最需要胜利的时候CG他来了，哈哈哈。赢了当然非常的开心，但是后面的比赛并不容易，不管是SKT还是FNC，想要战胜他们都不是件容易的事。但今年的RNG对我来说，小组赛出线我就满足了，所以，能赢FNC就能出线，目前来看，情况还是比较乐观的。不说了，今天就是来热手的，后面的才是硬战，加油吧RNG，加油吧Uzi和软泥怪们。,,,,2019-10-12,微博 weibo.com,182,21,1,,
4426525875383528,Ib83FmAv6,刚刚看到了RNG的首发阵容，我发现首发上单并不是大家认为的ZRR而是狼行，是不是那些ob认错人了阿？我一直就说不可能狼行不训练天天rank的，然后大家都信别人主播标的。。。。。。我认为可疑不标还被观众说。。。。。。我表示我好难。 ,,,,2019-10-12,iPhone客户端,135,48,0,,
4424914993614311,Ias9tfafl,Uzi落后The shy5000多经济，但是一不小心就单吃了，哈哈哈  阿杰解说的微博视频 ,,"http://f.video.weibocdn.com/004swoNUlx07xBZUazeE01041200pmyR0E010.mp4?label=mp4_720p&template=1280x720.24.0&trans_finger=3a98437b06ee9a5433eaf30fb06ab149&Expires=1581396265&ssig=ScDS9IHwu9&KID=unistore,video",,2019-10-08,微博视频,2292,533,62,,
4423834667524742,Ia030vzwO,RNG队员在欧服各种鲨疯了，这把Uzi和Ming的大师晋级赛局，有超多的精彩镜头，可惜我只录到这个，还有一个Ming的莫甘娜在潘森W他的一瞬间开大加秒表，反杀两个和点赞之后上去单杀卢锡安都非常亮，可惜我没录到。。  阿杰解说的微博视频 ,,"http://f.video.weibocdn.com/002wPTtvlx07xxf5TE0M01041200qrxd0E010.mp4?label=mp4_720p&template=1280x720.24.0&trans_finger=3a98437b06ee9a5433eaf30fb06ab149&Expires=1581396265&ssig=7lLGdVN0%2FT&KID=unistore,video",,2019-10-05,微博视频,93,25,0,,
4419812262664802,I8jpgbbeG,S9小组分组出来啦A组：G2 GRF C9B组：FPX JT GAMC组：SKT FNC RNGD组：TL AHQ IG还有四个从入围赛打出来的队员再次抽签填进来，这样每组四支队，前2进8强。 ,,,,2019-09-23,微博 weibo.com,91,52,3,,
4419067982651547,I802Ob7MT,LOL现在这么多人玩吗？电一排队不动了。。。是不是因为云顶之弈啊? ,https://wx3.sinaimg.cn/large/0069XXTYgy1g77g21mt84j30zk0k0n22.jpg,,,2019-09-21,微博 weibo.com,37,9,0,,
4418912319957246,I7VZJFMkK,刚刚广州鸣笛吓我一跳，不知道是什么原因，之前没收到信息说要鸣笛阿，以前有相关活动都会提前通知的，问了一圈没人知道原因。。。在我打字的时候，又开始了，有人知道原因么？ ,,,,2019-09-21,iPhone客户端,56,41,0,,
