id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4164319626786304,FqZfkstqw, 网页链接 ,,,,2017-10-18,微博 weibo.com,11,4,2,,
4143134668119421,Fi682y4ep,结束一天的美食和文化之旅，告别长沙(主要还是吃货之旅，一天吃3次臭豆腐也是没谁了) ,"https://wx2.sinaimg.cn/large/6f296cealy1fir5eg4lemj22ao328x6q.jpg,https://wx2.sinaimg.cn/large/6f296cealy1fir5fcbdjej23282aox6q.jpg,https://wx1.sinaimg.cn/large/6f296cealy1fir5jpwkz8j231y2agnpi.jpg,https://wx3.sinaimg.cn/large/6f296cealy1fir5g4ctaij22sl23g7wk.jpg,https://wx2.sinaimg.cn/large/6f296cealy1fir5gvmal3j22da1ry1l0.jpg,https://wx3.sinaimg.cn/large/6f296cealy1fir5h7h6j1j20zk0qonci.jpg,https://wx3.sinaimg.cn/large/6f296cealy1fir5iz3hyxj23282aokjr.jpg,https://wx4.sinaimg.cn/large/6f296cealy1fir5jy00d5j22we26bhdw.jpg",,,2017-08-21,华为P9手机摄影再突破,27,2,1,,
4085213250758208,EzKMJ3bfa,接受了@ThatsBJ英文杂志 主编Oscar Holland的专访（2017年3月刊），与他分享我在巴勒斯坦和伊拉克这几年的种种，我认真地对他说，即便是最艰难的战地报道，中国记者也早已不是旁观者，而是参与者、竞争者 ,"https://wx3.sinaimg.cn/large/6f296ceagy1fdmdcpbgckj20ji0csgou.jpg,https://wx3.sinaimg.cn/large/6f296ceagy1fdmdct7e4ej21310qo0z4.jpg,https://wx4.sinaimg.cn/large/6f296ceagy1fdmdcxo0znj21310qoq9o.jpg,https://wx1.sinaimg.cn/large/6f296ceagy1fdmdd1spxtj21310qowlz.jpg",,,2017-03-14,华为P9手机摄影再突破,27,8,2,,ThatsBJ英文杂志
3949723809344573,DkRxGDcWV,【抵抗ISIS之路】2014年6月，伊拉克爆发严重武装冲突，包括“伊斯兰国”（ISIS）在内的反政府武装相继夺取伊拉克西部和北部大片土地。在不足2年的事件里，这个恐怖组织迅速地发展壮大，其势力席卷了包括伊拉克和叙利亚在内的中东和北非地区多个国家，ISIS甚... 网页链接 ,https://ww2.sinaimg.cn/large/6f296ceajw1f1m4mi25xkj20c82ae44v.jpg,,,2016-03-05,图虫摄影网,25,5,16,,
3930865602465623,DcWXealq7,谢谢凤凰卫视，为我回顾了中东战地驻外5年的点点滴滴，一路走来，有笑有泪，不曾后悔 与梦想同行  ,https://ww1.sinaimg.cn/large/6f296ceajw1ezxysf99maj204u04u74b.jpg,,,2016-01-13,凤凰视频一键转帖,14,3,2,,
3920733665593541,D8Hnont8p,最近这条新闻写得手最软😭😭😭  【澎湃新闻：今年至少29名记者在伊拉克被杀，其中20人死于IS之手】今年至少29名记者在伊拉克被杀害，其中20名被IS处决（分享自@澎湃新闻）#我读澎湃#  ,https://ww4.sinaimg.cn/large/6f296ceagw1ez1n5hvjfuj203c03c0sk.jpg,,,2015-12-16,澎湃新闻应用,5,4,1,我读澎湃,澎湃新闻
3869418939681179,Ct7U1ECw3,#遭伊拉克扣押北大学生刘拓已被安全获释# 经中国大使馆确认，日前在伊拉克北部被当地警方扣押的北京大学考古文博学院学生刘拓已于当天平安获释，目前已抵达伊首都巴格达，其健康状况良好，并将尽快返回国内。图片1.扣押刘拓的警局 2.刘拓被扣前访问的古迹 3.伊拉克警察带走刘拓 4.在警局内的刘拓 ,"https://ww1.sinaimg.cn/large/6f296ceagw1euhxp81xnoj20jz0ncac8.jpg,https://ww4.sinaimg.cn/large/6f296ceagw1euhxpa6f0lj20zk0jztav.jpg,https://ww3.sinaimg.cn/large/6f296ceagw1euhxpc2f2vj20jz0uojtw.jpg,https://ww2.sinaimg.cn/large/6f296ceagw1euhxpego31j20tf0jm0vi.jpg",,,2015-07-28,微博 weibo.com,15,13,16,遭伊拉克扣押北大学生刘拓已被安全获释,
3869353219237353,Ct6c1CL3z,#刘拓# 刘拓已平安获释！正在返回巴格达途中！ ,,,,2015-07-27,微博 weibo.com,32,11,12,刘拓,
3867891122353410,Csu9O9See,刘拓有些疲倦、慌张，但他说没有受到虐待，尽管条件一般，但三餐都有，我鼓励他再坚持一下，各方都在努力营救他，冒险偷拍了张照片，警察说再拍就把我也抓进去，考虑到他的隐私，我问他是否要用化名，给照片打马赛克，他一脸坦然地对我说：“不用！如果打了马赛克，别人还真觉得我做了什么呢！” ,https://ww1.sinaimg.cn/large/6f296ceagw1eud27mpb0dj20zk0k0411.jpg,,,2015-07-23,微博 weibo.com,64,112,204,,
3867780820984299,CsrhU483N,已经到了关押北大考古研究生刘伟(化名)的萨迈拉警察局，还没有见到刘伟，在等待警局外等待同意会见，先给关心刘伟的朋友们报个平安，从门口的警卫口中得知，他现在很安全，没有被关在牢房，有空调、电视、三餐齐全。 ,https://ww4.sinaimg.cn/large/6f296ceajw1eucplm5akgj20qo0ezabj.jpg,,,2015-07-23,华为Ascend Mate7,26,14,46,,
