id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4408875010721306,I3ISx31DY,康熙活得太久，在位时间也实在太长了，如果胤礽能够以嫡子、太子的堂皇身份继位，其他皇子争无可争，大臣为押宝搞朋党的情况也很难成气候（不要被二月河的破书给误导了，看康熙给前期唯一觊觎太子位的庶长子胤褆密折的朱批何等严厉无情，就知道这个异想天开的老兄实际上一点希望都没有），康熙以疑似之罪废太子后不但没有解除猜疑，反倒自己开启了群子争位和大臣押宝的大门，最后不得不重立太子——实际上重立的太子既不能弹压大臣和其他儿子的野心，也无法端正自己的心态（他年老后惟恐嗣子提前夺权的心态可怕、可笑，也有点可怜，但一目了然），最终又不得不再废了拉倒。这样一来所有剩下的儿子都在同一起跑线上了，而他一个惟恐儿子提前接班且疑神疑鬼老人的患得患失，又让他自己把两个相对容易的选项——年龄最大的胤褆和最得人心的胤禩率先排除出局。排斥胤褆很容易理解：他此前在和胤礽争位时吃相难看，如果让他当太子“是储位可经营而得”，这是唐太宗废承乾时并废李泰的套路；但排斥胤禩就比较微妙了，因为胤禩除了母亲出身微贱外本人非但未干过什么坏事，反倒干过不少好事，且在兄弟大臣中也比较受欢迎，而康熙似乎正因为他这个“受欢迎”而格外反感，这似乎和后来乾隆排斥“朋党”的逻辑如出一辙（你们只能和皇帝交好，不能自己勾三搭四）。老大、废太子、老十三圈禁，老八出局，老三、老十二早早表现出与世无争，剩下“八爷党”转捧老十四胤禵，而老四胤禛其实相对孤立（唯一明确和他一党的老十三还关着），但种种迹象表明康熙生前选定的是胤禛，而不是传说中的胤禵，从朱批中可知他对胤禵曾经依附胤禩十分不满，后虽恢复信任但主要用于边务，相反胤禛不但被亲题“戒急用忍”，且屡屡委以朝务。康熙年事已高，心仪的储君怎可能长期外放？当年他真心实意以胤礽为太子时，一般都是自己远征、太子监国，这也是历代惯例。他何以选择大冷门胤禛？康熙往年对皇子“经营储位”十分敏感和反感，胤禵只是稍露痕迹就被踢了一个跟头，胤祥更是莫名其妙给关了10年之久，胤禵在胤禩出局后的做派，俨然就是第二个胤禩，康熙怎么可能没有看法？相反，胤禛在长达几十年的群子争位期间一直不冷不热，若即若离，既没有显得很心热，也没有像老三、老十二那样离得太远（老三恐怕还是复立太子一事上过于招摇，自己害怕才往后缩的，最终躲了老子躲不过弟弟的一闷棍，不过好歹脑袋是保住了），考虑到晚年康熙的心态和思维逻辑，他被选上其实并不算太过出乎意料。 为什么康熙的接班人是雍正而不是其他人？,,,,2019-08-24,微博 weibo.com,159,101,102,,
4410955448106519,I4B04y0Sj,#吴亦凡恋情#……这都谁啊？ 网页链接 ,,,,2019-08-30,HUAWEI P10 Plus,64,64,1,吴亦凡恋情,
4410955352024522,I4AZV8uFA,#超六成考研为更好找工作#这话说的一一如果超六成考研是为了更不好找工作再一惊一乍不好么？ 网页链接 ,,,,2019-08-30,HUAWEI P10 Plus,17,6,1,超六成考研为更好找工作,
4410897634104750,I4zuPhdPE,#北京晚霞#笑，又一锦鲤 网页链接 ,,,,2019-08-30,HUAWEI P10 Plus,4,0,0,北京晚霞,
4410896912630129,I4ztFb2dr,#德云社苏州场涉嫌违规内容#哼哼 网页链接 ,,,,2019-08-30,HUAWEI P10 Plus,2,1,0,德云社苏州场涉嫌违规内容,
4410896719660521,I4ztlEx8R,#全球数十座城市正在下沉#这个话题很新鲜？大概82年，中学自然常识就把马尔代夫怕淹和瑙鲁怕鸟粪挖光并列炒作成两大段子了 网页链接 ,,,,2019-08-30,HUAWEI P10 Plus,13,4,1,全球数十座城市正在下沉,
4410760211795467,I4vVb7x59,"我回答了@互联IT最前沿 的问题,大家快来花1元围观~ 微博问答 ",,,,2019-08-29,HUAWEI P10 Plus,6,1,0,,互联IT最前沿
4410755266514032,I4vNcrkB2,当年某地搞“规模化”改革时就有人很中肯地评价称，10000艘驳船焊接在一起，也不会变成一艘航母。阿根廷、巴西这两个国家货币的共同特点，就是不稳定、经不起国际汇率波动的冲击，原因则是经济结构畸形、外资依赖度高、债务结构严重不合理、外债偿还压力沉重，且两国的现行基准利率都已经高得骇人听闻，通胀反倒居高不下，这种情况下用货币杠杆进行调整的空间小到近乎绝望（因为根本无法判断到底该加息还是降息），这样的“弱弱结合”就宛如两个正往井里掉的落水者热情携手、紧紧拥抱，虽然根据伽利略传说中的比萨斜塔试验和牛顿第二定律原理，他们俩抱一起掉井里的速度，实际上跟分别掉井里是一样的——但他们终究还是会一块儿掉井里不是么？什么什么，还有俩成员国呢？猫都掉井里了，您说他们背上还蹲俩臭虫，有意义么？ 阿根廷、巴西、巴拉圭、乌拉圭四国统一货币的可能性有多少？,,,,2019-08-29,微博 weibo.com,6,6,4,,
4410752288663411,I4vIoAlKr,我回答了 @半糖猫猫爱田田 的问题，问题价值￥29.99，大家快来花1元围观~ 微博问答 ,,,,2019-08-29,微博 weibo.com,6,3,0,,半糖猫猫爱田田
4410537687345879,I4q8guOZV,#偷拍的秘密#花总是老搭档老朋友了，这次曝光一如既往揭示了八个字的主题词一一防不胜防，自求多福 网页链接 ,,,,2019-08-29,HUAWEI P10 Plus,7,0,1,偷拍的秘密,
4410537058030426,I4q7fxH50,#四大航司集体压缩餐食成本#何止他们，四十年前CAAC经济舱的餐饮比现在商务舱还好，十年前东航国际航班厨房还有随时可以吃的生煎包呢 网页链接 ,,,,2019-08-29,HUAWEI P10 Plus,5,4,1,四大航司集体压缩餐食成本,
4410333705418746,I4kPgmJF8,我回答了 @分数线单杠引体向上 的问题，问题价值￥29.99，大家快来花1元围观~ 微博问答 ,,,,2019-08-28,微博 weibo.com,6,3,0,,分数线单杠引体向上
