id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4452991962654362,ImeyUb8wi,胡同里的尺度和外面城市里的尺度不一样，车也是和谐的尺度 ,"https://wx1.sinaimg.cn/large/72eb1945ly1ga7o3f4wh3j23402c0qv7.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1ga7o3vwzb4j23402c07wk.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga7o49151bj23402c0hdv.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1ga7o4vdm7wj23402c0npg.jpg,https://wx4.sinaimg.cn/large/72eb1945ly1ga7o55c1tsj23402c0x6s.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga7o2oaemoj23402c0b2c.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga7o5nqdhsj23402c01l0.jpg,https://wx2.sinaimg.cn/large/72eb1945ly1ga7o5zmc86j23402c0qv7.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1ga7o69uxr9j23402c01l0.jpg",,,2019-12-24,,584,84,28,,
4452292763715085,IlWnafAsJ,天气好，阳光充足的角落出现很多生活场景，茄子有点服了。#城市家具系列##城市突起物运动# ,"https://wx3.sinaimg.cn/large/72eb1945ly1ga5funbt81j23402c07wk.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga5fut6s5xj23402c0hdw.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1ga5fuy2axaj23402c0e84.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1ga5fu0oxlej23402c0hdw.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga5fugodgvj23402c04qs.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1ga5fttm4gij23402c0hdy.jpg,https://wx2.sinaimg.cn/large/72eb1945ly1ga5fuc3rhzj22c0340u11.jpg",,,2019-12-22,,459,91,31,"城市家具系列,城市突起物运动",
4449813581936502,IkTSu87LU,城市寄生家具计划“突起物”城市在自由生长出来的城市里，拥有着很多丰富生动的空间形式和灵活多用的构件。每个人可以随意利用，不需拘束，在这些城市中的“突起物”上尽情发挥对于生活的想象力。这些创造性的人为使用，使得这些城市“突起物”的周围不再是功能单一的空间，而产生了丰富的短时存在的活动。于是此刻，有了生活，有了“家”。平滑城市现代城市逐渐失去了“粗糙感”，城市界面的“突起物”慢慢减少。我们似乎逐渐失去了对于城市空间“改造利用”的主观能动性，我们的生活在高效有序的运行规则下变得整齐划一。城市中个体的生活越来越看不见了，不同个体创造的短时存在的“家”仿佛消失了。寄生家具 “寄生”——两个生物体共生的状态，一方从另一方生物体中单方面持续获取能量。我们以城市家具的形式将个体生活与城市空间结合，以满足丰富多元的生活需求。这些寄生在现代城市空间中、具有多元功能的构件，我们称之为“城市寄生家具”。通过创造这样的“城市寄生家具”，原本消失的生活从私密空间向城市中延展开来，城市的公共空间中再现原本看不见的“家”。#城市家具系列##城市突起物运动# 青山周平的微博视频,,"http://f.video.weibocdn.com/001rdgj0lx07znAnoblK010412001f6h0E010.mp4?label=mp4_hd&template=654x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1577700447&ssig=6Bnahq1cWR&KID=unistore,video",,2019-12-15,,198,11,28,"城市家具系列,城市突起物运动",
4449407611691693,IkJjH765n,"%Arabica coffee 上海建国西路店1. 项目场地位于上海市徐汇区建国西路。建国西路全长2498米，宽十余米，道旁梧桐掩映，几经历史变迁。让建国西路成为上海最富有情调的街区之一的原因，不止是两旁历史悠久的建筑，更因为宜人的街道尺度造就了舒适的步行体验。不同于普通商业街道用封闭的幕墙把室内私人空间与室外公共空间完全分隔开的沉闷布局，建国西路相对生动、开放的形态，让街道成为人与人发生交流的场所，形成有“厚度”的城市界面。2. “建筑构筑城镇，居民构成城市。” 作为城市的骨架，街道是居民生活载体，是创造宜居生活的基础。在高密度的现代城市, 快节奏的现代生活中，人们更需要街道能够回归人的尺度，给人舒适、丰富和有包容性的体验。例如东京的下北泽，在很多调查中被人们评为最喜欢的街区之一。它最独特的地方是很多店铺把桌椅，展柜货架等家具放在店铺外立面和街道中间的地方，途中随处所见的是丰富的产品，人们吃饭喝咖啡的场景，露天的聚会和活动，让人感受到市井生活的可爱。这让下北泽不再是一个传统的线性的商业街道，而是一个有着丰富立体的空间体验的街区。我们认为，在行走街头的过程中，偶然看到人群的相聚，闻到他们吃的食物的味道，听到他们聊的故事，这才是理想的城市街道的样子。理想的城市界面，内与外，私密与公共区域的分界是模糊的，是有“厚度”的，街道无需拓宽，就灵活的扩展了空间。这个有厚度的空间，是让居民能真正参加到城市空间中的关键。作为临街的店铺改造项目，对理想城市界面的探索成为了设计出发点，我们希望咖啡厅不再只是提供一杯咖啡的空间，更多是给人们提供可以交流互动的，像小公园一样的公共空间。3. 面积50平米的店铺设计内容包括了室内和外立面的改造。外立面抛弃常规做法，而选择将空间彻底开放，形成一个围绕着U字型玻璃盒子的小小庭院。可以完全敞开的弧形玻璃门，以及从室外延伸进来的地面材质，最大程度的将室内外空间贯通为一个整体，模糊内外的边界。室内空间虽然不大，但也开辟出一方庭院，店内的小树和街道旁的梧桐树交相呼应，也是街道自然元素的延展。此外，为了保证店铺在不同季节的实用性，室外休息区也安装了空调，结合入口处的风幕机，一定程度的控制室内外冷热空气交换，让客人在冬日和夏日也能获得较舒适的体验。整体通透玻璃和开放的设计将店铺完全融入到街道的环境中，也将街道和城市的风景引入店内，梧桐树木，光影变幻，来往的人群，都成为店铺的一部分。以这样的方式与自然，与城市街道对话，重新定义了室内外的边界。4. 此次项目虽然只是50平米的小空间改造，但更大意义上是一种探索美好城市界面的尝试。店铺把自己的商业空间一部分室外化，贡献给了街道，这样的态度小小的提升了城市空间体验。我们希望，城市里这样的案例会越来越多，这些个体的点渐渐蔓延成一个网络，整体的提升城市生活品质。","https://wx3.sinaimg.cn/large/72eb1945gy1g9w8eqkjzoj21400u01l0.jpg,https://wx2.sinaimg.cn/large/72eb1945gy1g9w8fko6ghj21hc0u01l1.jpg,https://wx1.sinaimg.cn/large/72eb1945gy1g9w8gefssfj21400u0b2c.jpg,https://wx3.sinaimg.cn/large/72eb1945gy1g9w8ez8h4jj213z0u0u0z.jpg,https://wx3.sinaimg.cn/large/72eb1945gy1g9w8g8gkz4j21de0u0u12.jpg,https://wx3.sinaimg.cn/large/72eb1945gy1g9w8gaklrrj213z0u07wj.jpg,https://wx1.sinaimg.cn/large/72eb1945gy1g9w8ghhq9vj21400u04qs.jpg,https://wx1.sinaimg.cn/large/72eb1945gy1g9w8fbedrcj213z0u04qs.jpg,https://wx2.sinaimg.cn/large/72eb1945gy1g9w8fwng3sj21400u0npf.jpg",,,2019-12-14,微博 weibo.com,803,101,216,,
4449097610111542,IkBfH0t14,这几天大家努力布展，终于差不多了，明天开幕！ 北京·UCCA尤伦斯当代艺术中心 ,"https://wx1.sinaimg.cn/large/72eb1945ly1g9v8vqv4x6j23402c0e83.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1g9v8upk882j23402c0kjn.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1g9v8ulyjjej23402c07wi.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1g9v8uwu1svj23402c0x6q.jpg,https://wx4.sinaimg.cn/large/72eb1945ly1g9v8uxm1mrj20za1gw79f.jpg,https://wx2.sinaimg.cn/large/72eb1945ly1g9v8unll8rj23402c0kjm.jpg,https://wx1.sinaimg.cn/large/72eb1945ly1g9v8urh35fj23402c04qr.jpg,https://wx2.sinaimg.cn/large/72eb1945ly1g9v8us4cbej21hc0u014o.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1g9v8uv65pwj23402c0hdu.jpg",,北京·UCCA尤伦斯当代艺术中心,2019-12-13,,368,22,20,,
4447354172159771,IjRTH93R1,Everything is Urbanism.By Winy Maas 北京·The Georg by Georg Jensen Hus ,"https://wx4.sinaimg.cn/large/72eb1945ly1g9pon1xlnbj22c03401ky.jpg,https://wx2.sinaimg.cn/large/72eb1945ly1g9poo97fzdj22c0340e83.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1g9poo6woasj20pw19malb.jpg",,北京·The Georg by Georg Jensen Hus,2019-12-08,,245,9,3,,
4446890663482961,IjFQ6eC4N,/送展览门票了/我们在@UCCA尤伦斯当代艺术中心 的展览，下周六12月14号就要开幕了。展览时间到12月27号。为了感谢大家平时的支持，这次的展览也希望送10张展览门票。转发本条微博，我将在12月10日通过@微博抽奖平台 抽取“生活之内”艺术展展览门票10张。时间比较紧张，大家抓紧！  抽奖详情,https://wx1.sinaimg.cn/large/72eb1945ly1g9o7dnb26bj20za1gw79f.jpg,,,2019-12-07,,224,217,477,,"UCCA尤伦斯当代艺术中心,微博抽奖平台"
4446455257389644,IjuvPv0nO,感觉到了世界尽头 ,https://wx2.sinaimg.cn/large/72eb1945ly1g9mtfvgvsrj20yi1n1h82.jpg,,,2019-12-06,,275,42,1,,
4444313154640368,IiAMPjtaE,这期的日本杂志Pen介绍了我们设计的项目隆福寺木木艺术社区。 ,"https://wx4.sinaimg.cn/large/72eb1945ly1g9fzefc485j22c0340x6q.jpg,https://wx3.sinaimg.cn/large/72eb1945ly1g9fzegme6ej22c03401kz.jpg",,,2019-11-30,,265,14,6,,
4444299410197692,IiAqF0PqA,我和@WOODTEC朝日木泰科 跨界合作的木地板 Hybrid混合系列，前几天正式发布了。明年春天的时候在通过国内经销商渠道正式开始销售了。今年2月份开始到现在10个月的设计研发的过程，第一次参与木地板设计，也很有意思的过程。 青山周平的微博视频 ,,"http://f.video.weibocdn.com/003x5RVslx07yZjE7BLi010412009lPi0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&Expires=1577700448&ssig=Y1u4naSLf2&KID=unistore,video",,2019-11-30,艺术 · 视频社区,331,26,37,,WOODTEC朝日木泰科
