id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4470094590069241,ItptN0i0N,发表了博文《街景》街景文/飞扬的流沙两扇铁门紧闭着，中间停靠一辆电动三轮车向车外延伸出细细的炊烟给寂静的城市增添生命气息过滤偶尔走过的人分辨故事情节疏通呼吸的节奏藏好他们的心律当夜晚来临时也能找到影子街景 ,https://wx4.sinaimg.cn/large/470cb54cly1gbq8dtz8ygj20c807xmy4.jpg,,,2020-02-09,新浪博客,0,0,0,,
4469721497493520,ItfM1vrpe,发表了博文《修行》修行文/飞扬的流沙受不住黑白色彩的围困你烦躁不安你想突围，想自由奔跑但门外贴着禁令——不能搅扰沉默的风你开始阅读自己发现那里是辽阔的世界小桥流水，繁花盛开柔风细雨，蝶飞凤舞你把每一个修行 ,https://wx3.sinaimg.cn/large/470cb54cly1gbp1j9gqu5j20c8093jsp.jpg,,,2020-02-08,新浪博客,0,0,0,,
4469466278693921,It98nAtGx,萌新来报道，希望义拉拉塔超话里的大佬多多支持！超话传送门→义拉拉塔超话 ,,,,2020-02-07,超话,0,0,0,,
4469258555716598,It3JlnZ9c,发表了博文《欲望》欲望文/飞扬的流沙恐惧逃离房子以为在空阔的天地得到安慰可时间不肯放过围追堵截贪念忐忑走失在荒原上想念敞开的门但窗子在山腰上已关得极为严密杜绝蚊虫的入侵欲望 ,https://wx1.sinaimg.cn/large/470cb54cly1gbnkd7isn6j20dw08zwel.jpg,,,2020-02-07,新浪博客,0,0,0,,
4468886734507298,IsU3DiUym,自私的缘故。如果站在不同角度看自己就不一样了。 为什么总有人身在福中不知福呢？ ,,,,2020-02-06,vivo X20全面屏手机,0,0,0,,
4468886449548625,IsU3aE425,活好自己，做好自己，诠释人的真谛，苍天不亏待，会赠予相应的礼物。 你对握住此生辽阔，赠你满天星火这句话有什么理解? ,,,,2020-02-06,vivo X20全面屏手机,1,0,0,,
4468885916735836,IsU2jsgiw,偏见，心灵扭曲，不同见解存在着，就会有无理由谩骂。越优秀越容易招来骂声。 你见过有人在虚拟网络中无缘无故的骂人吗？ ,,,,2020-02-06,vivo X20全面屏手机,1,0,0,,
4468885392488671,IsU1tarpR,一步步丈量岁月，一节节发现自己，成长到死亡。 你会用哪句话总结你的人生经历？ ,,,,2020-02-06,vivo X20全面屏手机,0,0,0,,
4468643444431330,IsNJeiAN4,发表了博文《蜗居在冬天》蜗居在冬天文/飞扬的流沙闭塞的生活空间里敞开心扉拆除所有壁垒夜里酝酿一粒种子的能量迎着朝阳盛放一朵花疏通灵性的通道与星空对话和远山合唱蜗居在冬天 ,https://wx3.sinaimg.cn/large/470cb54cly1gbllq0doykj20e607vjsg.jpg,,,2020-02-05,新浪博客,0,0,0,,
4467914683768595,IsuLOfOnN,发表了博文《真实的存在》真实的存在文/飞扬的流沙躲开风声不知已多少天也许一直藏在狭缝里或者在自我的世界里跋山涉水或沉入你的海里静默这都无关紧要能听到血液的流淌声看见牵念飞行的影子沐浴思想燃烧的光里接受真实的存在 ,https://wx1.sinaimg.cn/large/470cb54cly1gbja0x68yzj20dw099my0.jpg,,,2020-02-03,新浪博客,1,0,0,,
4467818269747710,IssgiETP8,发表了博文《你无法承受困扰》你无法承受困扰文/飞扬的流沙你无法承受困扰想走出自己但铁门围住了希望眼睛泄露了秘密祈求毫无意义静悄悄的街道不会接纳你的忐忑只有打开时间的窗看看远方，读读远去的情节从中找到自你无法承受困扰 ,https://wx2.sinaimg.cn/large/470cb54cly1gbiyya49jdj20c80963zh.jpg,,,2020-02-03,新浪博客,0,0,0,,
4466462246779449,IrSZasrDX,发表了博文《石头记》石头记文/飞扬的流沙石头受不住阳光雨露的软磨硬泡不经意间泄露真相撑起手杖的表层下面早已松动空虚在腐枝败叶中间长出牙齿开始孤独的旅程凿好的卯榫找到各自准确的位置石头记 ,https://wx1.sinaimg.cn/large/470cb54cly1gben7r0cbgj20hs0b475r.jpg,,,2020-01-30,新浪博客,0,0,0,,
4465299275623148,IroJpnAPW,发表了博文《在地球的两侧，你和我》在地球的两侧，你和我文/飞扬的流沙打开晨曦的眼眸但真希望这是一次错误的选择坠落，山火，死亡撕碎记忆的讯息打乱时针一声声刺耳的声音给不寻常的回忆画上句号知道石头没有柔软在地球的两侧，你和我 ,https://wx1.sinaimg.cn/large/470cb54cly1gbaxne5vmjj20dw0afabv.jpg,,,2020-01-27,新浪博客,0,0,0,,
4464895590309232,Ireej1irC,#钟南山说动才动##延长假期#根据疫情，应该延期上班，以免流动人口促进疫情滋生。 面对疫情，你希望单位延长假期吗? ,,,,2020-01-26,vivo X20全面屏手机,0,0,0,"钟南山说动才动,延长假期",
4464894848296038,Ired6yOb4,#武汉封城##抗击新型肺炎第一线#最担心人心。人心不稳任何工作开展起来总会遇到阻力。 武汉封城以后，你最担心的是什么？ ,,,,2020-01-26,vivo X20全面屏手机,0,0,0,"武汉封城,抗击新型肺炎第一线",
4463938302963593,IqPkicqXT,发表了博文《既然》既然文/飞扬的流沙既然都已成定论也就无需再多说点燃那团篝火不为照亮暗夜对应朝霞只为柴火一个永恒的使命和它的荣耀既然 ,https://wx2.sinaimg.cn/large/470cb54cly1gb6lcdmyhij20go0gnadg.jpg,,,2020-01-23,新浪博客,0,0,0,,
4463841821933414,IqMOG86Y6,发表了博文《听见骨头在电闪雷鸣》听见骨头在电闪雷鸣文/飞扬的流沙听见骨头在电闪雷鸣暴风骤雨来袭动摇了冬天的固执我数着一次次划过的光芒希望哪一束光能照亮这黑夜好让我大胆地起来煮茶，吃饭，想念哼着小曲进入听见骨头在电闪雷鸣 ,https://wx1.sinaimg.cn/large/470cb54cly1gb6a9hk1ydj20j60crmye.jpg,,,2020-01-23,新浪博客,1,0,0,,
4463805113617237,IqLRtfb0x,每一个物种都是自然界某一个环上的心脏，你说心脏停止跳动了会怎么样？自私者、杀戮者、贪婪者都在谋害自然平衡。 你认为人类有必要保护野生动物吗，为什么？ ,,,,2020-01-23,vivo X20全面屏手机,2,0,0,,
4463802479586349,IqLNdEdQx,#集卡开鸿运# ，好运一整年！我收到了@携程旅行网  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-23,红包活动,1,0,0,"集卡开鸿运,健康运",携程旅行网
4463802131659086,IqLMF6XBs,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的#高升运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-23,红包活动,0,0,0,"集卡开鸿运,高升运",让红包飞
4463638641637776,IqHwY6S3K,读生活，真诚活着，善良行事。再博览群书。 有哪些书籍读了可以让自己受益终生？ ,,,,2020-01-22,vivo X20全面屏手机,0,0,0,,
4463638293081407,IqHwpcVC7,黔驴技穷或者艺术才华贫瘠，还有就是版权意识弱，自我意识太浓，以为模仿了就是他的，这样的形态怎么能缺少抄袭呢？ 为什么现在很多国内的歌曲都有抄袭的嫌疑？ ,,,,2020-01-22,vivo X20全面屏手机,1,0,0,,
4463637542437024,IqHvcadYQ,把真实的生活艺术处理后让每一个细节以不同的方式徐徐生辉！ 怎样写小说才能让读者感受到情绪的变化？ ,,,,2020-01-22,vivo X20全面屏手机,0,0,0,,
4463434248685203,IqCdiArpV,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,健康运",刷宝短视频
4463434064283573,IqCd0hYlT,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的#桃花运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,桃花运",让红包飞
4463433602909464,IqCcgccSQ,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,健康运",刷宝短视频
4463433188098094,IqCbAxYGq,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#招财运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,招财运",刷宝短视频
4463432906504176,IqCb8ri24,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,健康运",刷宝短视频
4463432839267778,IqCb1CSYi,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,健康运",让红包飞
4463432785364914,IqCaWmvES,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的#桃花运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,桃花运",让红包飞
4463432755953785,IqCaToYQN,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的#高升运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,高升运",让红包飞
4463432730459050,IqCaR1Vq2,#集卡开鸿运# ，好运一整年！我收到了@携程旅行网  送我的#平安运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,平安运",携程旅行网
4463432705523104,IqCaOnaOk,#集卡开鸿运# ，好运一整年！我收到了@UziQAQ  送我的#平安运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,平安运",UziQAQ
4463432667687253,IqCaKwfNX,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#招财运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,招财运",刷宝短视频
4463432625486166,IqCaGn1cy,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-22,红包活动,0,0,0,"集卡开鸿运,健康运",刷宝短视频
4463159999604584,Iqv4XEiAE,#宿州七位市民因穿睡衣出行被公开曝光##市民穿睡衣出行被公开曝光#真该定标准的是那些定标准的人心。 市民穿睡衣出门算是不文明的行为吗? ,,,,2020-01-21,vivo X20全面屏手机,0,0,0,"宿州七位市民因穿睡衣出行被公开曝光,市民穿睡衣出行被公开曝光",
4463159781710436,Iqv4C7aXG,#宿州七位市民因穿睡衣出行被公开曝光##市民穿睡衣出行被公开曝光#睡衣不是衣服吗？人如何穿戴都应有标配吗？ 市民穿睡衣出门算是不文明的行为吗? ,,,,2020-01-21,vivo X20全面屏手机,1,0,0,"宿州七位市民因穿睡衣出行被公开曝光,市民穿睡衣出行被公开曝光",
4463158880111549,Iqv3a0t1b,#故宫院长道歉##故宫博物院发布道歉声明#道歉只是承认错误的方式，更重要的是如何承担责任的问题。 故宫院长深夜发文道歉，作为大众你能接受这样的说辞吗？ ,,,,2020-01-21,vivo X20全面屏手机,1,0,0,"故宫院长道歉,故宫博物院发布道歉声明",
4463158527991131,Iqv2AxwRd,#湖人vs凯尔特人##nba吐槽大会#休息付出总要适应适应节奏的 湖人107-139惨败绿军，浓眉复出为何依然败得这么惨？ ,,,,2020-01-21,vivo X20全面屏手机,1,0,0,"湖人vs凯尔特人,nba吐槽大会",
4463158074722934,Iqv1RjOEm,#集卡开鸿运# ，好运一整年！我收到了@刷宝短视频  送我的#健康运#，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-21,红包活动,0,0,0,"集卡开鸿运,健康运",刷宝短视频
4459481456544399,IoXnPrsuP,发表了博文《我不想浪费时间阅读夜晚》我不想浪费时间阅读夜晚文/飞扬的流沙我不想浪费时间阅读夜晚懂不懂黑暗的阴谋对于准时升起的太阳毫无相干即使月亮休息了也无妨在漫长的冬夜酝酿的爱足以照亮我的心和远方让灵我不想浪费时间阅读夜晚 ,https://wx4.sinaimg.cn/large/470cb54cly1gasdhdytz6j20fa0j1wg7.jpg,,,2020-01-11,新浪博客,1,0,0,,
4459451681581028,IoWBO6Dis,#集卡开鸿运# ，好运一整年！我收到了@让红包飞  送我的【健康运】，喜欢这份特别的礼物~集齐6种开运卡，除夕瓜分1亿红包！想要？一起来玩呀~ 戳 >> 新年开运卡 ,,,,2020-01-11,红包活动,0,0,0,集卡开鸿运,让红包飞
4456958662618949,InTKOaZj7,发表了博文《那片落叶》那片落叶文/飞扬的流沙那片落叶总想压垮我的视野不安分的风趋炎附势做帮凶想拴住我麻木的脚可这毫无意义尘埃总会落定巨石仍旧守护千变万化的世界弹奏着光明竖琴哼着苍生的心声不会停歇那片落叶 ,https://wx3.sinaimg.cn/large/470cb54cly1gakbqruk9ij20go0gnadg.jpg,,,2020-01-04,新浪博客,0,0,0,,
4455958648010026,IntJSxBLY,发表了博文《发丝》发丝文/飞扬的流沙剪掉疯长的发丝封存一段孤独孕育更深的自由给灵魂在牵念的云端凝聚一场雨给旷野回归原始的旋律天地回音发丝 ,https://wx2.sinaimg.cn/large/470cb54cly1gah4w62anyj20j606et9v.jpg,,,2020-01-01,新浪博客,0,0,0,,
4455837466639184,InqAqrR9C,发表了博文《你的时间》你的时间文/飞扬的流沙你的时间就在我的血液里燃烧如同江河在大地上滚滚奔流我就是你的时针穿梭于岁月的长卷上蜿蜒曲折的路上铺一层柔柔的念散发着你绵延不绝的恋你的时间 ,https://wx4.sinaimg.cn/large/470cb54cly1gagqz5c4i2j20a006m74v.jpg,,,2020-01-01,新浪博客,0,0,0,,
4454776668335294,ImYZsyYoe,发表了博文《敬畏海》敬畏海文/飞扬的流沙敬畏海又向往着把自己放生在海里那是你日夜编织的网网线的每一个交界处都有你藏好的一颗星星时刻都能看见汹涌澎湃的浪花和深邃的爱恋敬畏海 ,https://wx4.sinaimg.cn/large/470cb54cly1gadd58e0qgj20c809575j.jpg,,,2019-12-29,新浪博客,0,0,0,,
