id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4471513710955178,Iu0oH40u6,故人西行黄鹤楼，长江一脉水悠悠。但愿疫清碧空尽，烟花三月能下楼。 ,,,,2020-02-13,iPhone 11 Pro Max,108,6,8,,
4471139658883001,ItQFnBgSd,我觉得吧，“风月同天”也好，“青山一道”也罢，固然触动心弦，但“武汉加油”和“武汉不哭”也没什么，简单朴素易传播。除去不同的场景因素，我们也要考虑到中国的国情，你在农村挂一道“明月何曾是两乡”，倒还真不如挂一条“少聚一顿饭，亲情不会断”实在。当然，最关键的是：无论什么口号，光喊不做最终还是会被人厌恶的，无论“不哭”还是“青山”。,"https://wx4.sinaimg.cn/large/668f794egy1gbtkdjnf5rj20hs0mxmzu.jpg,https://wx4.sinaimg.cn/large/668f794egy1gbtkel57h7j20d00n274u.jpg",,,2020-02-12,iPhone 11 Pro Max,150,14,21,,
4470911060737365,ItKIG35OZ,山外青山闲外闲 ,https://wx4.sinaimg.cn/large/668f794egy1gbsu5jmdjqj20u00u0goj.jpg,,,2020-02-11,iPhone 11 Pro Max,42,9,7,,
4470865167475289,ItJwEvmFb,一个谣言流传起来的几大要素（但这个无伤大雅且挺有趣）：1、虚构的权威背书（NASA）；2、简易的操作验证（立扫把）；3、社交媒体传播（微博和朋友圈）；4、特定的历史时期（疫情让大家在家闲得）#你每天都能立扫把# ,https://wx4.sinaimg.cn/large/668f794egy1gbsovjcj02j20u01407cw.jpg,,,2020-02-11,iPhone 11 Pro Max,77,18,11,你每天都能立扫把,
4470418897167152,ItxURu4ve,你当年肯定无法想到，你现在每天都在cosplay这部经典电影里的经典镜头。 ,"https://wx4.sinaimg.cn/large/668f794egy1gbr9mhd6usj20go0b3mya.jpg,https://wx3.sinaimg.cn/large/668f794egy1gbr9mhv7fbj20fa0kedjf.jpg",,,2020-02-10,iPhone 11 Pro Max,96,20,19,,
4470412371377066,ItxKl5MeK,我个人认为《寄生虫》并没有好到这个程度。但这么多年来，韩国电影拿几个奥斯卡奖，不冤。 ,https://wx2.sinaimg.cn/large/668f794egy1gbr8vo7pkhj20fi0m50wg.jpg,,,2020-02-10,iPhone 11 Pro Max,102,23,9,,
4466876892031015,Is3LX8wmj,上海疾控中心主任接受媒体采访，最后有一句：“只要精准防控，精心医治……”——后面还有一句话：“在人类面前，任何疾病都是微不足道的”（大意）。这句话，东方卫视放的时候没删，但上视新闻综合放的时候删掉了。我为上视新闻综合的这个编辑点个赞 ,https://wx1.sinaimg.cn/large/668f794egy1gbfytxkes7j20gp09fdgu.jpg,,,2020-01-31,iPhone 11 Pro Max,200,16,12,,
4466423818140123,IrRZby9Cj,《囧妈》有一个好点子和多个可以取得共鸣的元素：母子情，中年夫妇危机，老人的莫斯科情结，“控制式”关爱，异国风情。。。然而，剧本却写烂了，而且越到后面越烂。好比一道菜，食材其实还可以的，开头热油炒葱姜蒜也还行，但食材一进锅就惨不忍睹了，最后糊成一锅。拍到后面徐峥简直有点陷入自嗨了，逻辑之类的都没法看了。可惜，可惜了啊！,https://wx4.sinaimg.cn/large/668f794ely1gbeisucxp9j20hy0rsjwk.jpg,,,2020-01-30,iPhone 11 Pro Max,78,23,2,,
4465221965636708,IrmIInEmE,2020，倒带，重来吧🙏 ,,,,2020-01-27,iPhone 11 Pro Max,121,27,5,,
4464321570687352,IqZit2SOk,大家新年快乐！一切平安！春天很快就会来！[加油]🙏 ,https://wx1.sinaimg.cn/large/668f794egy1gb7tci4vuhj21ct0u0dto.jpg,,,2020-01-24,iPhone 11 Pro Max,184,16,5,,
4462477532341485,Iqdkd9P7T,“在你胸口上比划一个紫禁城/左边儿右边儿别摇头/有了特权不炫成个窜天猴/锦衣夜行算个球/” ,,,,2020-01-19,iPhone 11 Pro Max,146,13,2,,
4460028800551982,IpbCE2jAW,黄渤，焦俊艳，王珞丹，谭卓，白客，恭喜你们，找到了个好剧本。 ,https://wx4.sinaimg.cn/large/668f794egy1gau4cb2dd1j20k00s0jw9.jpg,,,2020-01-12,iPhone 11 Pro Max,50,9,3,,
